Z,Mean Concentration
-61.900000000000006,0.0
-61.800000000000004,0.0
-61.7,0.0
-61.6,0.0
-61.5,0.0
-61.400000000000006,0.0
-61.300000000000004,0.0
-61.2,0.0
-61.1,0.0
-61.0,0.0
-60.900000000000006,0.0
-60.800000000000004,0.0
-60.7,0.0
-60.6,0.0
-60.5,0.0
-60.400000000000006,0.0
-60.300000000000004,0.0
-60.2,0.0
-60.1,0.0
-60.0,0.0
-59.900000000000006,0.0
-59.800000000000004,0.0
-59.7,0.0
-59.6,0.0
-59.5,0.0
-59.400000000000006,0.0
-59.300000000000004,0.0
-59.2,0.0
-59.1,0.0
-59.0,0.0
-58.900000000000006,0.0
-58.800000000000004,0.0
-58.7,0.0
-58.6,0.0
-58.5,0.0
-58.400000000000006,0.0
-58.300000000000004,0.0
-58.2,0.0
-58.1,0.0
-58.0,0.0
-57.900000000000006,0.0
-57.800000000000004,0.0
-57.7,0.0
-57.6,0.0
-57.5,0.0
-57.400000000000006,0.0
-57.300000000000004,0.0
-57.2,0.0
-57.1,0.0
-57.0,0.0
-56.900000000000006,0.0
-56.800000000000004,0.0
-56.7,0.0
-56.6,0.0
-56.5,0.0
-56.400000000000006,0.0
-56.300000000000004,0.0
-56.2,0.0
-56.1,0.0
-56.0,0.0
-55.900000000000006,0.0
-55.800000000000004,0.0
-55.7,0.0
-55.6,0.0
-55.5,0.0
-55.400000000000006,0.0
-55.300000000000004,0.0
-55.2,0.0
-55.1,0.0
-55.0,0.0
-54.900000000000006,0.0
-54.800000000000004,0.0
-54.7,0.0
-54.6,0.0
-54.5,0.0
-54.400000000000006,0.0
-54.300000000000004,0.0
-54.2,0.0
-54.1,0.0
-54.0,0.0
-53.900000000000006,0.0
-53.800000000000004,0.0
-53.7,0.0
-53.6,0.0
-53.5,0.0
-53.400000000000006,0.0
-53.300000000000004,0.0
-53.2,0.0
-53.1,0.0
-53.0,0.0
-52.900000000000006,0.0
-52.800000000000004,0.0
-52.7,0.0
-52.6,0.0
-52.5,0.0
-52.400000000000006,0.0
-52.300000000000004,0.0
-52.2,0.0
-52.1,0.0
-52.0,0.0
-51.900000000000006,0.0
-51.800000000000004,0.0
-51.7,0.0
-51.6,0.0
-51.5,0.0
-51.400000000000006,0.0
-51.300000000000004,0.0
-51.2,0.0
-51.1,0.0
-51.0,0.0
-50.900000000000006,0.0
-50.800000000000004,0.0
-50.7,0.0
-50.6,0.0
-50.5,0.0
-50.400000000000006,0.0
-50.300000000000004,0.0
-50.2,0.0
-50.1,0.0
-50.0,0.0
-49.900000000000006,0.0
-49.800000000000004,0.0
-49.7,0.0
-49.6,0.0
-49.5,0.0
-49.400000000000006,0.0
-49.300000000000004,0.0
-49.2,0.0
-49.1,0.0
-49.0,0.0
-48.900000000000006,0.0
-48.800000000000004,0.0
-48.7,0.0
-48.6,0.0
-48.5,0.0
-48.400000000000006,0.0
-48.300000000000004,0.0
-48.2,0.0
-48.1,0.0
-48.0,0.0
-47.900000000000006,0.0
-47.800000000000004,0.0
-47.7,0.0
-47.6,0.0
-47.5,0.0
-47.400000000000006,0.0
-47.300000000000004,0.0
-47.2,0.0
-47.1,0.0
-47.0,0.0
-46.900000000000006,0.0
-46.800000000000004,0.0
-46.7,0.0
-46.6,0.0
-46.5,0.0
-46.400000000000006,0.0
-46.300000000000004,0.0
-46.2,0.0
-46.1,0.0
-46.0,0.0
-45.900000000000006,0.0
-45.800000000000004,0.0
-45.7,0.0
-45.6,0.0
-45.5,0.0
-45.400000000000006,0.0
-45.300000000000004,0.0
-45.2,0.0
-45.1,0.0
-45.0,0.0
-44.900000000000006,0.0
-44.800000000000004,0.0
-44.7,0.0
-44.6,0.0
-44.5,0.0
-44.400000000000006,0.0
-44.300000000000004,0.0
-44.2,0.0
-44.1,0.0
-44.0,0.0
-43.900000000000006,0.0
-43.800000000000004,0.0
-43.7,0.0
-43.6,0.0
-43.5,0.0
-43.400000000000006,0.0
-43.300000000000004,0.0
-43.2,0.0
-43.1,0.0
-43.0,0.0
-42.900000000000006,0.0
-42.800000000000004,0.0
-42.7,0.0
-42.6,0.0
-42.5,0.0
-42.400000000000006,0.0
-42.300000000000004,0.0
-42.2,0.0
-42.1,0.0
-42.0,0.0
-41.900000000000006,0.0
-41.800000000000004,0.0
-41.7,0.0
-41.6,0.0
-41.5,0.0
-41.400000000000006,0.0
-41.300000000000004,0.0
-41.2,0.0
-41.1,0.0
-41.0,0.0
-40.900000000000006,0.0
-40.800000000000004,0.0
-40.7,0.0
-40.6,0.0
-40.5,0.0
-40.400000000000006,0.0
-40.300000000000004,0.0
-40.2,0.0
-40.1,0.0
-40.0,0.0
-39.900000000000006,0.0
-39.800000000000004,0.0
-39.7,0.0
-39.6,0.0
-39.5,0.0
-39.400000000000006,0.0
-39.300000000000004,0.0
-39.2,0.0
-39.1,0.0
-39.0,0.0
-38.900000000000006,0.0
-38.800000000000004,0.0
-38.7,0.0
-38.6,0.0
-38.5,0.0
-38.400000000000006,0.0
-38.300000000000004,0.0
-38.2,0.0
-38.1,0.0
-38.0,0.0
-37.900000000000006,0.0
-37.800000000000004,0.0
-37.7,0.0
-37.6,0.0
-37.5,0.0
-37.400000000000006,0.0
-37.300000000000004,0.0
-37.2,0.0
-37.1,0.0
-37.0,0.0
-36.900000000000006,0.0
-36.800000000000004,0.0
-36.7,0.0
-36.6,0.0
-36.5,0.0
-36.400000000000006,0.0
-36.300000000000004,0.0
-36.2,0.0
-36.1,0.0
-36.0,0.0
-35.900000000000006,0.0
-35.800000000000004,0.0
-35.7,0.0
-35.6,0.0
-35.5,0.0
-35.400000000000006,0.0
-35.300000000000004,0.0
-35.2,0.0
-35.1,0.0
-35.0,0.0
-34.900000000000006,0.0
-34.800000000000004,0.0
-34.7,0.0
-34.6,0.0
-34.5,0.0
-34.400000000000006,0.0
-34.300000000000004,0.0
-34.2,0.0
-34.1,0.0
-34.0,0.0
-33.900000000000006,0.0
-33.800000000000004,0.0
-33.7,0.0
-33.6,0.0
-33.5,0.0
-33.400000000000006,0.0
-33.300000000000004,0.0
-33.2,0.0
-33.1,0.0
-33.0,0.0
-32.900000000000006,0.0
-32.800000000000004,0.0
-32.7,0.0
-32.6,0.0
-32.5,0.0
-32.400000000000006,0.0
-32.300000000000004,0.0
-32.2,0.0
-32.1,0.0
-32.0,0.0
-31.900000000000002,0.0
-31.800000000000004,0.0
-31.700000000000003,0.0
-31.6,0.0
-31.500000000000004,0.0
-31.400000000000002,0.0
-31.300000000000004,0.0
-31.200000000000003,0.0
-31.1,0.0
-31.000000000000004,0.0
-30.900000000000002,0.0
-30.800000000000004,0.0
-30.700000000000003,0.0
-30.6,0.0
-30.500000000000004,0.0
-30.400000000000002,0.0
-30.300000000000004,0.0
-30.200000000000003,0.0
-30.1,0.0
-30.000000000000004,0.0
-29.900000000000002,0.0
-29.800000000000004,0.0
-29.700000000000003,0.0
-29.6,0.0
-29.500000000000004,0.0
-29.400000000000002,0.0
-29.300000000000004,0.0
-29.200000000000003,0.0
-29.1,0.0
-29.000000000000004,0.0
-28.900000000000002,0.0
-28.800000000000004,0.0
-28.700000000000003,0.0
-28.6,0.0
-28.500000000000004,0.0
-28.400000000000002,0.0
-28.300000000000004,0.0
-28.200000000000003,0.0
-28.1,0.0
-28.000000000000004,0.0
-27.900000000000002,0.0
-27.800000000000004,0.0
-27.700000000000003,0.0
-27.6,0.0
-27.500000000000004,0.0
-27.400000000000002,0.0
-27.300000000000004,0.0
-27.200000000000003,0.0006781162610013123
-27.1,0.0
-27.000000000000004,0.0
-26.900000000000002,0.0006781162610013123
-26.800000000000004,0.0
-26.700000000000003,0.0
-26.6,0.0
-26.500000000000004,0.0006781162610013123
-26.400000000000002,0.0
-26.300000000000004,0.0006781162610013123
-26.200000000000003,0.002034348783003937
-26.1,0.002034348783003937
-26.000000000000004,0.002034348783003937
-25.900000000000002,0.00881551139301706
-25.800000000000004,0.0027124650440052494
-25.700000000000003,0.008137395132015748
-25.6,0.010849860176020996
-25.500000000000004,0.008137395132015748
-25.400000000000002,0.010849860176020997
-25.300000000000004,0.010849860176020997
-25.200000000000003,0.009493627654018372
-25.1,0.009493627654018372
-25.000000000000004,0.014240441481027558
-24.900000000000002,0.015596674003030183
-24.800000000000004,0.01491855774202887
-24.700000000000003,0.02576841791804987
-24.6,0.02102160409104068
-24.500000000000004,0.03187146426706168
-24.400000000000002,0.03526204557206824
-24.300000000000004,0.03729639435507218
-24.200000000000003,0.04068697566007874
-24.1,0.04475567322608661
-24.000000000000004,0.0495024870530958
-23.900000000000002,0.039330743138076114
-23.800000000000004,0.05492741714110629
-23.700000000000003,0.05492741714110629
-23.6,0.06509916105612598
-23.500000000000004,0.07323655618814173
-23.400000000000002,0.08340830010316141
-23.300000000000004,0.10103932288919554
-23.200000000000003,0.1369794847222651
-23.1,0.1376576009832664
-23.000000000000004,0.16817283272832545
-22.900000000000002,0.18851632055836484
-22.800000000000004,0.22852517995744212
-22.700000000000003,0.2631091092685088
-22.6,0.32210522397562275
-22.500000000000004,0.3729639435507209
-22.400000000000002,0.41907584929880987
-22.300000000000004,0.506552846967979
-22.200000000000003,0.559445915326081
-22.1,0.6774381447403093
-22.000000000000004,0.8042458855475537
-21.900000000000002,0.9283411613107944
-21.800000000000004,1.1039732729101341
-21.700000000000003,1.2484120365034137
-21.6,1.4538812635868124
-21.500000000000004,1.6423975841451757
-21.400000000000002,1.9007598795866762
-21.300000000000004,2.231002498694316
-21.200000000000003,2.550395257625932
-21.1,2.7782423213223737
-21.000000000000004,3.198674403143188
-20.900000000000002,3.559432253995887
-20.800000000000004,3.979864335816697
-20.700000000000003,4.403686998942518
-20.6,4.953639286614583
-20.500000000000004,5.331350043992318
-20.400000000000002,5.795859682778212
-20.300000000000004,6.313940506183218
-20.200000000000003,6.975103860659496
-20.1,7.35145838551523
-20.000000000000004,8.110270481575693
-19.900000000000002,8.539518074789532
-19.800000000000004,9.368176145733132
-19.700000000000003,9.869304062613095
-19.6,10.593532229362502
-19.500000000000004,10.74068345799978
-19.400000000000002,11.402524928737062
-19.300000000000004,12.05826335312534
-19.200000000000003,12.39325278605999
-19.1,12.97575465426012
-19.000000000000004,13.408392828778956
-18.900000000000002,13.948851488796999
-18.800000000000004,14.0580282068182
-18.700000000000003,14.654092400238364
-18.6,14.881261347673801
-18.500000000000004,15.283384290447582
-18.400000000000002,15.381033032031766
-18.300000000000004,15.654992001476295
-18.200000000000003,15.938444598574838
-18.1,16.294455635600528
-18.000000000000004,16.18934761514532
-17.900000000000002,16.5894362091361
-17.800000000000004,16.784733692304485
-17.700000000000003,16.692509880808295
-17.6,16.89458852658668
-17.500000000000004,16.990202919387873
-17.400000000000002,17.19499403021026
-17.300000000000004,17.22008433186733
-17.200000000000003,17.192959681427265
-17.1,17.44725327930279
-17.000000000000004,17.334007863715552
-16.900000000000002,17.47437792974279
-16.800000000000004,17.655434971430168
-16.700000000000003,17.63305713481712
-16.6,17.48454967365784
-16.500000000000004,17.572704787587988
-16.400000000000002,17.639838297427147
-16.300000000000004,17.529305346883923
-16.200000000000003,17.57880783393703
-16.1,17.742233852838343
-16.000000000000004,17.709006156049266
-15.900000000000002,17.6140698795091
-15.800000000000002,17.730027760140302
-15.700000000000003,17.776139665888397
-15.600000000000003,17.63237901855612
-15.500000000000004,17.572704787588005
-15.400000000000002,17.846663757032527
-15.300000000000002,17.761899224407376
-15.200000000000003,17.718499783703276
-15.100000000000003,17.746980666665333
-15.000000000000004,17.783598944759422
-14.900000000000002,17.684593970653214
-14.800000000000002,17.68798455195823
-14.700000000000003,17.68595020317522
-14.600000000000003,17.488618371223858
-14.500000000000004,17.890741313997616
-14.400000000000002,17.940243801050716
-14.300000000000002,17.690018900741226
-14.200000000000003,17.969402800273784
-14.100000000000003,17.698834412134246
-14.000000000000004,17.788345758586424
-13.900000000000002,17.739521387794326
-13.800000000000002,17.734774573967325
-13.700000000000003,17.565245508716995
-13.600000000000003,17.703581225961265
-13.500000000000004,17.662216134040186
-13.400000000000002,17.762577340668383
-13.300000000000002,17.84056071068351
-13.200000000000003,17.66492859908418
-13.100000000000003,17.71443108613727
-13.000000000000004,17.75715241058037
-12.900000000000002,17.87311029121158
-12.800000000000002,17.77274908458339
-12.700000000000003,17.934140754701698
-12.600000000000003,17.532017811927926
-12.500000000000004,17.742233852838332
-12.400000000000002,17.56727985749999
-12.300000000000002,17.66357236656216
-12.200000000000003,17.68934078448022
-12.100000000000003,17.805976781372465
-12.000000000000004,17.841238826944508
-11.900000000000002,17.687984551958216
-11.800000000000002,17.76257734066838
-11.700000000000003,17.583554647764032
-11.600000000000003,17.740877620316347
-11.500000000000004,17.718499783703294
-11.400000000000002,17.65475685516915
-11.300000000000002,17.52998346314492
-11.200000000000003,17.800551851284435
-11.100000000000003,17.65001004134215
-11.000000000000004,17.75511806179736
-10.900000000000002,17.702903109700244
-10.800000000000002,17.738165155272327
-10.700000000000003,17.725280946313305
-10.600000000000003,17.75986487562436
-10.500000000000004,17.724602830052298
-10.400000000000002,17.63102278603412
-10.300000000000002,17.65543497143014
-10.200000000000003,18.05213298411593
-10.100000000000003,17.525236649317893
-10.000000000000004,17.875822756255594
-9.900000000000002,17.564567392455984
-9.800000000000002,17.628988437251113
-9.700000000000003,17.635769599861128
-9.600000000000003,17.643228878732145
-9.500000000000004,17.664250482823192
-9.400000000000002,17.687306435697213
-9.300000000000002,17.68527208691421
-9.200000000000003,17.720534132486296
-9.100000000000003,17.61203553072607
-9.000000000000004,17.641872646210143
-8.900000000000002,17.816148525287478
-8.800000000000002,17.63576959986112
-8.700000000000003,17.645263227515148
-8.600000000000003,17.66085990151817
-8.500000000000004,17.67103164543321
-8.400000000000002,17.717143551181273
-8.300000000000002,17.687306435697227
-8.200000000000003,17.775461549627384
-8.100000000000003,17.590335810374018
-8.000000000000004,17.576773485154007
-7.900000000000003,17.61610422829208
-7.8000000000000025,17.55032695097496
-7.700000000000003,17.65136627386416
-7.600000000000003,17.7212122487473
-7.500000000000003,17.684593970653225
-7.400000000000003,17.902947406695638
-7.3000000000000025,17.67238787795519
-7.200000000000003,17.79580503745744
-7.100000000000003,17.73341834144533
-7.000000000000003,17.839204478161523
-6.900000000000003,17.744268201621335
-6.8000000000000025,17.67645657552121
-6.700000000000003,17.78698952606442
-6.600000000000003,17.801229967545453
-6.500000000000003,17.638482064905123
-6.400000000000003,17.7252809463133
-6.3000000000000025,17.563889276194974
-6.200000000000003,17.76257734066838
-6.100000000000003,17.445897046780757
-6.000000000000003,17.732740225184326
-5.900000000000003,17.820217222853465
-5.8000000000000025,17.88260391886561
-5.700000000000003,17.77478343336638
-5.600000000000003,17.7320621089233
-5.500000000000003,17.663572366562178
-5.400000000000003,17.67713469178221
-5.3000000000000025,17.6194948095971
-5.200000000000003,17.69815629587325
-5.100000000000003,17.69544383082925
-5.000000000000003,17.45945937200079
-4.900000000000003,17.6710316454332
-4.8000000000000025,17.527270998100914
-4.700000000000003,17.62559785594609
-4.600000000000003,17.648653808820146
-4.500000000000003,17.53608650949392
-4.400000000000003,17.50082446392187
-4.3000000000000025,17.452000093129765
-4.200000000000003,17.663572366562192
-4.100000000000003,17.664928599084185
-4.000000000000003,17.59372639167902
-3.900000000000003,17.435725302865748
-3.800000000000003,17.759186759363356
-3.700000000000003,17.631700902295126
-3.6000000000000028,17.548292602191964
-3.5000000000000027,17.603898135594054
-3.400000000000003,17.6289884372511
-3.300000000000003,17.49743388261686
-3.200000000000003,17.636447716122124
-3.1000000000000028,17.429622256516723
-3.0000000000000027,17.56524550871698
-2.900000000000003,17.527949114361913
-2.800000000000003,17.69205324952424
-2.700000000000003,17.463528069566802
-2.6000000000000028,17.391647745900666
-2.5000000000000027,17.459459372000783
-2.400000000000003,17.536086509493934
-2.300000000000003,17.474377929742808
-2.200000000000003,17.47641227852581
-2.1000000000000028,17.75443994553636
-2.0000000000000027,17.62966655351211
-1.9000000000000028,17.822929687897492
-1.800000000000003,17.686628319436227
-1.7000000000000028,17.563889276194978
-1.6000000000000028,17.489296487484847
-1.5000000000000029,17.64322887873214
-1.4000000000000028,17.591013926635043
-1.300000000000003,17.632379018556115
-1.2000000000000028,17.599151321767064
-1.1000000000000028,17.599151321767057
-1.0000000000000029,17.559820578628976
-0.9000000000000028,17.711040504832287
-0.8000000000000028,17.687306435697234
-0.7000000000000028,17.626954088468114
-0.6000000000000029,17.62356350716309
-0.5000000000000029,17.586945229069034
-0.40000000000000285,17.742911969099325
-0.3000000000000028,17.719177899964286
-0.20000000000000284,17.65001004134216
-0.10000000000000284,17.74087762031633
-2.8449465006019636e-15,17.81343606024346
0.09999999999999716,17.879891453821607
0.19999999999999715,17.580842182720016
0.29999999999999716,17.75918675936336
0.39999999999999714,17.88870696521461
0.49999999999999717,17.923290894525667
0.5999999999999972,17.725959062574308
0.6999999999999972,17.801908083806442
0.7999999999999972,17.864972896079568
0.8999999999999971,17.992458753147826
0.9999999999999971,17.759186759363356
1.0999999999999972,17.777495898410397
1.199999999999997,17.823607804158488
1.2999999999999972,17.768680387017387
1.3999999999999972,17.68188150560921
1.4999999999999971,17.778174014671404
1.5999999999999972,17.658825552735166
1.699999999999997,17.59576074046205
1.7999999999999972,17.850732454598532
1.8999999999999972,17.825642152941505
1.9999999999999971,17.89481001156361
2.099999999999997,17.77274908458337
2.199999999999997,17.78563329354242
2.299999999999997,17.850054338337543
2.3999999999999972,17.744946317882338
2.4999999999999973,17.778852130932407
2.599999999999997,17.820217222853486
2.699999999999997,17.866329128601564
2.799999999999997,17.857513617208564
2.8999999999999972,17.729349643879296
2.9999999999999973,17.87717898877759
3.099999999999997,17.656791203952153
3.199999999999997,17.77274908458338
3.299999999999997,17.75172748049235
3.3999999999999972,17.7300277601403
3.4999999999999973,17.793092572413443
3.599999999999997,17.94024380105073
3.699999999999997,17.797161269979455
3.799999999999997,17.64255076247116
3.8999999999999972,17.74223385283833
3.9999999999999973,17.722568481269295
4.099999999999997,17.521846068012888
4.1999999999999975,17.409956884947697
4.299999999999997,17.763933573190382
4.399999999999997,17.878535221299604
4.499999999999997,17.864294779818554
4.599999999999997,17.822929687897496
4.6999999999999975,17.795805037457438
4.799999999999997,17.719177899964283
4.899999999999997,17.601185670550063
4.999999999999997,17.677134691782197
5.099999999999997,17.68120338934821
5.1999999999999975,17.629666553512116
5.299999999999997,17.500146347660888
5.399999999999997,17.61203553072609
5.499999999999997,17.75511806179736
5.599999999999997,17.74087762031634
5.6999999999999975,17.647975692559147
5.799999999999997,17.715109202398285
5.899999999999997,17.821573455375486
5.999999999999997,17.63305713481713
6.099999999999997,17.610001181943083
6.1999999999999975,17.75172748049235
6.299999999999997,17.74969313170936
6.399999999999997,17.650688157603167
6.499999999999997,17.717821667442276
6.599999999999997,17.656791203952174
6.6999999999999975,17.645263227515127
6.799999999999997,17.641872646210146
6.899999999999997,17.540833323320935
6.999999999999997,17.674422226738212
7.099999999999997,17.89345377904163
7.1999999999999975,17.626275972207104
7.299999999999997,17.69273136578524
7.399999999999997,17.668997296650193
7.499999999999997,17.58084218272002
7.599999999999997,17.89413189530262
7.6999999999999975,17.852088687120542
7.799999999999997,17.877857105038597
7.899999999999997,18.008055427150836
7.999999999999997,17.739521387794337
8.099999999999998,17.902947406695656
8.199999999999998,17.797839386240437
8.299999999999997,17.84598564077154
8.399999999999997,17.80733301389446
8.499999999999996,17.930072057135696
8.599999999999998,17.890741313997616
8.699999999999998,17.99991803201881
8.799999999999997,17.826998385463504
8.899999999999997,17.828354617985493
8.999999999999996,17.828354617985486
9.099999999999998,17.80394243258945
9.199999999999998,17.916509731915667
9.299999999999997,17.677134691782204
9.399999999999997,17.684593970653214
9.499999999999996,17.89616624408561
9.599999999999998,17.95109366122672
9.699999999999998,17.838526361900517
9.799999999999997,17.696121947090234
9.899999999999997,17.623563507163105
9.999999999999996,17.686628319436224
10.099999999999998,17.91990031322069
10.199999999999998,17.601185670550073
10.299999999999997,17.620172925858107
10.399999999999997,17.96669033522978
10.499999999999996,17.559820578628987
10.599999999999998,17.77410531710538
10.699999999999998,17.841916943205533
10.799999999999997,17.755796178058343
10.899999999999997,17.974827730361795
10.999999999999996,17.9849994742768
11.099999999999998,17.79783938624044
11.199999999999998,17.71714355118129
11.299999999999997,17.61542611203107
11.399999999999997,17.78631140980341
11.499999999999996,17.746302550404337
11.599999999999998,17.86090419851357
11.699999999999998,17.73952138779432
11.799999999999997,17.77207096832238
11.899999999999997,17.654078738908176
11.999999999999996,17.673744110477195
12.099999999999998,17.68052527308721
12.199999999999998,17.914475383132654
12.299999999999997,17.763933573190386
12.399999999999997,17.607288716899063
12.499999999999996,17.978218311666787
12.599999999999998,17.80462054885045
12.699999999999998,17.82496403668049
12.799999999999997,17.75037124797035
12.899999999999997,17.578807833937002
12.999999999999996,17.88463826764861
13.099999999999998,17.501502580182862
13.199999999999998,17.585588996547045
13.299999999999997,17.73341834144532
13.399999999999997,17.626954088468114
13.499999999999996,17.776817782149397
13.599999999999998,17.656113087691164
13.699999999999998,17.73138399266232
13.799999999999997,17.638482064905123
13.899999999999997,17.591692042896042
13.999999999999996,17.664928599084185
14.099999999999998,17.877178988777587
14.199999999999998,17.61474799577009
14.299999999999997,17.633735251078143
14.399999999999997,17.641194529949143
14.499999999999996,17.534052160710935
14.599999999999998,17.772070968322396
14.699999999999998,17.627632204729103
14.799999999999997,17.61203553072606
14.899999999999997,17.76461168945139
14.999999999999996,17.7768177821494
15.099999999999998,17.568636090022004
15.199999999999998,17.681203389348198
15.299999999999997,17.51031809157588
15.399999999999997,17.666962947867173
15.499999999999996,17.49607765009487
15.599999999999998,17.56456739245598
15.699999999999998,17.58694522906902
15.799999999999997,17.638482064905148
15.899999999999997,17.59237015915702
15.999999999999996,17.616782344553094
16.099999999999998,17.628310320990124
16.199999999999996,17.460815604522782
16.299999999999997,17.45945937200079
16.4,17.203131425342292
16.499999999999996,17.13803226428615
16.599999999999998,17.277724214052434
16.699999999999996,17.317733073451503
16.799999999999997,17.376729188158617
16.9,17.03631482513596
16.999999999999996,16.912219549372747
17.099999999999998,17.08717354471107
17.199999999999996,16.8545796671876
17.299999999999997,17.046486569050984
17.4,16.78269934352147
17.499999999999996,16.73116250768538
17.599999999999998,16.364301610483658
17.699999999999996,16.407701051187754
17.799999999999997,16.177141522447304
17.9,15.959466202665894
17.999999999999996,16.036093340159038
18.099999999999998,15.660416931564294
18.199999999999996,15.444775960565899
18.299999999999997,15.415616961342828
18.4,14.801921745136651
18.499999999999996,14.601199331880238
18.599999999999998,14.202466970411475
18.699999999999996,13.850524630951805
18.799999999999997,13.555544057416236
18.9,13.21377346187157
18.999999999999996,12.661786825416504
19.099999999999998,12.370874949446943
19.199999999999996,12.000623470940223
19.299999999999997,11.346241279073958
19.4,10.954290080215202
19.499999999999996,10.622013112324545
19.599999999999998,9.923553363493195
19.699999999999996,9.459043724707294
19.799999999999997,8.87247315894116
19.9,8.297430569612063
19.999999999999996,7.698653911147891
20.099999999999998,7.169045111305874
20.199999999999996,6.627908335026822
20.299999999999997,6.103724465272813
20.4,5.566656386559767
20.499999999999996,5.101468631512873
20.599999999999998,4.584065924368871
20.699999999999996,4.285694769528292
20.799999999999997,3.858481525097465
20.9,3.374306514742527
20.999999999999996,2.9423464564846915
21.099999999999998,2.7212805553982635
21.199999999999996,2.3008484735774513
21.299999999999997,2.1218257806731025
21.4,1.7895488127824597
21.499999999999996,1.655959909365201
21.599999999999998,1.4260784968857565
21.699999999999996,1.2151843397143491
21.799999999999997,1.0504020882910294
21.9,0.870023162864682
21.999999999999996,0.7628807936264742
22.099999999999998,0.6292918902092162
22.199999999999996,0.5411367762790453
22.299999999999997,0.48010631278892796
22.4,0.39805424520776916
22.499999999999996,0.3410924792836593
22.599999999999998,0.2915899922305637
22.699999999999996,0.24683431900447747
22.799999999999997,0.21496285473741603
22.9,0.17156341403333203
22.999999999999996,0.15528862376930053
23.099999999999998,0.10714236923820734
23.199999999999996,0.10714236923820734
23.299999999999997,0.08001771879815485
23.4,0.06238669601212073
23.499999999999996,0.0664553935781286
23.599999999999998,0.06509916105612598
23.699999999999996,0.050858719575098424
23.799999999999997,0.04475567322608661
23.9,0.030515231745059053
23.999999999999996,0.03729639435507218
24.099999999999998,0.0332276967890643
24.199999999999996,0.02712465044005249
24.299999999999997,0.027802766701053805
24.4,0.03187146426706168
24.499999999999996,0.02712465044005249
24.599999999999998,0.02576841791804987
24.699999999999996,0.025090301657048557
24.799999999999997,0.023734069135045933
24.9,0.019665371569038057
24.999999999999996,0.013562325220026246
25.099999999999998,0.016274790264031495
25.199999999999996,0.011527976437022308
25.299999999999997,0.00881551139301706
25.4,0.008137395132015748
25.499999999999996,0.005424930088010499
25.599999999999998,0.007459278871014435
25.699999999999996,0.008137395132015748
25.799999999999997,0.010171743915019685
25.9,0.00610304634901181
25.999999999999996,0.006781162610013123
26.099999999999998,0.00881551139301706
26.199999999999996,0.005424930088010499
26.299999999999997,0.005424930088010499
26.4,0.004068697566007874
26.499999999999996,0.005424930088010498
26.599999999999998,0.0033905813050065614
26.699999999999996,0.004068697566007874
26.799999999999997,0.0033905813050065614
